Субъект Российской Федерации;Год;Период;Код медициской организации, подразделения медицинской организации;Медицинская организация, подразделение медицинской организации;Обслуживаемое население;Количество прикрепленного населения, всего;Количество прикрепленного населения, дети;Количество пересечений потоков пациентов при проведении профилактического медицинского осмотра, первого этапа диспансеризации с иными потоками пациентов в поликлинике, единица (целевое значение - не более 3), критерий достигнут;Количество пересечений потоков пациентов при проведении профилактического медицинского осмотра, первого этапа диспансеризации с иными потоками пациентов в поликлинике, единица (целевое значение - не более 3), текущий показатель;Количество пересечений потоков пациентов при предоставлении платных медицинских услуг и медицинской помощи в рамках программы государственных гарантий бесплатного оказания гражданам медицинской помощи, единица (целевое значение - не более 1), критерий достигнут;Количество пересечений потоков пациентов при предоставлении платных медицинских услуг и медицинской помощи в рамках программы государственных гарантий бесплатного оказания гражданам медицинской помощи, единица (целевое значение - не более 1), текущий показатель;Количество посадочных мест в зоне (зонах) комфортных условий ожидания на 200 посещений плановой мощности поликлиники, единица (целевое значение - не менее 1), критерий достигнут;Количество посадочных мест в зоне (зонах) комфортных условий ожидания на 200 посещений плановой мощности поликлиники, единица (целевое значение - не менее 1), плановая мощность;Количество посадочных мест в зоне (зонах) комфортных условий ожидания на 200 посещений плановой мощности поликлиники, единица (целевое значение - не менее 1), текущий показатель;Время поиска в системе навигации поликлиники информации для принятия решения о дальнейшем направлении движения к пункту назначения в каждой точке ветвления маршрутов, критерий достигнут;Время поиска в системе навигации поликлиники информации для принятия решения о дальнейшем направлении движения к пункту назначения в каждой точке ветвления маршрутов, текуший показатель;Доля элементов системы информирования об организации медицинской деятельности поликлиники, отвечающих условиям уместности, актуальности, доступности информации, % (целевое значение - не менее 100), критерий достигнут;Доля элементов системы информирования об организации медицинской деятельности поликлиники, отвечающих условиям уместности, актуальности, доступности информации, % (целевое значение - не менее 100), текущий показатель;Доля времени приемов врача для оказания медицинской помощи в плановой форме в течение рабочей смены, отведенного для приема по предварительной записи, % (целевое значение - не менее 50), критерий достигнут;Доля времени приемов врача для оказания медицинской помощи в плановой форме в течение рабочей смены, отведенного для приема по предварительной записи, % (целевое значение - не менее 50), текущий показатель;Доля пациентов, принятых в соответствии со временем предварительной записи, от общего количества пациентов, принятых по предварительной записи, % (целевое значение -не менее 80), критерий достигнут;Доля пациентов, принятых в соответствии со временем предварительной записи, от общего количества пациентов, принятых по предварительной записи, % (целевое значение - не менее 80), текущий показатель;Доля записей на прием к врачу, совершенных гражданами без очного обращения в регистратуру медицинской организации, %  (целевое значение - не менее 50), критерий достигнут;Доля записей на прием к врачу, совершенных гражданами без очного обращения в регистратуру медицинской организации, %  (целевое значение - не менее 50), текущий показатель;Количество визитов пациента в поликлинику для прохождения профилактического медицинского осмотра или первого этапа диспансеризации определенных групп взрослого населения, единица (целевое значение - не более 3), критерий достигнут;Количество визитов пациента в поликлинику для прохождения профилактического медицинского осмотра или первого этапа диспансеризации определенных групп взрослого населения, единица (целевое значение - не более 3), текущий показатель;Плановая дата достижения первого уровня новой модели организации оказания медицинской помощи
Алтайский край;2023;Март;22-001/13;"КГБУЗ ""Детская городская больница № 1, г. Барнаул"" (поликлиническое отделение №1, ул. Никитина, 74)";Детское;;;Оценка не проведена;0;Оценка не проведена;0;Оценка не проведена;;0;Оценка не проведена;0;Оценка не проведена;0;Оценка не проведена;0;Оценка не проведена;0;Оценка не проведена;0;Оценка не проведена;0;
Алтайский край;2023;Март;22-002/13;"КГБУЗ ""Детская городская больница № 1, г. Барнаул"" (поликлиническое отделение №2, пр-кт Строителей, 23а)";Детское;;;Оценка не проведена;0;Оценка не проведена;0;Оценка не проведена;;0;Оценка не проведена;0;Оценка не проведена;0;Оценка не проведена;0;Оценка не проведена;0;Оценка не проведена;0;Оценка не проведена;0;
Алтайский край;2023;Март;22-003/13;"КГБУЗ ""Детская городская больница № 1, г. Барнаул"" (поликлиническое отделение №3, пр-кт Ленина, 114)";Детское;;;Оценка не проведена;0;Оценка не проведена;0;Оценка не проведена;;0;Оценка не проведена;0;Оценка не проведена;0;Оценка не проведена;0;Оценка не проведена;0;Оценка не проведена;0;Оценка не проведена;0;
Алтайский край;2023;Март;22-004/13;"КГБУЗ ""Городская больница № 10, г. Барнаул"" - детское поликлиническое отделение";Детское;;;Оценка не проведена;0;Оценка не проведена;0;Оценка не проведена;;0;Оценка не проведена;0;Оценка не проведена;0;Оценка не проведена;0;Оценка не проведена;0;Оценка не проведена;0;Оценка не проведена;0;30.06.2022
Алтайский край;2023;Март;22-005/13;"КГБУЗ ""Городская поликлиника № 10, г. Барнаул"" - детское поликлиническое отделение";Детское;;;Оценка не проведена;0;Оценка не проведена;0;Оценка не проведена;;0;Оценка не проведена;0;Оценка не проведена;0;Оценка не проведена;0;Оценка не проведена;0;Оценка не проведена;0;Оценка не проведена;0;
Алтайский край;2023;Март;22-006/13;"КГБУЗ ""Городская поликлиника № 12, г. Барнаул"" - детское поликлиническое отделение";Детское;;;Оценка не проведена;0;Оценка не проведена;0;Оценка не проведена;;0;Оценка не проведена;0;Оценка не проведена;0;Оценка не проведена;0;Оценка не проведена;0;Оценка не проведена;0;Оценка не проведена;0;
Алтайский край;2023;Март;22-007/13;"КГБУЗ ""Городская поликлиника № 14, г. Барнаул"" -детское поликлиническое отделение";Детское;;;Оценка не проведена;0;Оценка не проведена;0;Оценка не проведена;;0;Оценка не проведена;0;Оценка не проведена;0;Оценка не проведена;0;Оценка не проведена;0;Оценка не проведена;0;Оценка не проведена;0;28.06.2022
Алтайский край;2023;Март;22-008/13;"КГБУЗ ""Городская детская больница, г. Бийск"" (ул. Вали Максимовой, 15)";Детское;;;Оценка не проведена;0;Оценка не проведена;0;Оценка не проведена;;0;Оценка не проведена;0;Оценка не проведена;0;Оценка не проведена;0;Оценка не проведена;0;Оценка не проведена;0;Оценка не проведена;0;28.06.2022
Алтайский край;2023;Март;22-009/13;"КГБУЗ ""Городская детская больница, г. Бийск"" (ул. Декабристов, 1)";Детское;;;Оценка не проведена;0;Оценка не проведена;0;Оценка не проведена;;0;Оценка не проведена;0;Оценка не проведена;0;Оценка не проведена;0;Оценка не проведена;0;Оценка не проведена;0;Оценка не проведена;0;28.06.2022
Алтайский край;2023;Март;22-010/13;"КГБУЗ ""Городская детская больница, г. Бийск"" (ул. Мирная, 7)";Детское;;;Оценка не проведена;0;Оценка не проведена;0;Оценка не проведена;;0;Оценка не проведена;0;Оценка не проведена;0;Оценка не проведена;0;Оценка не проведена;0;Оценка не проведена;0;Оценка не проведена;0;28.06.2022
Алтайский край;2023;Март;22-011/13;"КГБУЗ ""Городская детская больница, г. Бийск"" (ул. Льнокомбинат, 13)";Детское;;;Оценка не проведена;0;Оценка не проведена;0;Оценка не проведена;;0;Оценка не проведена;0;Оценка не проведена;0;Оценка не проведена;0;Оценка не проведена;0;Оценка не проведена;0;Оценка не проведена;0;28.06.2022
Алтайский край;2023;Март;22-012/13;"КГБУЗ ""Центральная городская больница, г. Белокуриха"" - детское поликлиническое отделение";Детское;;;Оценка не проведена;0;Оценка не проведена;0;Оценка не проведена;;0;Оценка не проведена;0;Оценка не проведена;0;Оценка не проведена;0;Оценка не проведена;0;Оценка не проведена;0;Оценка не проведена;0;
Алтайский край;2023;Март;22-013/13;"КГБУЗ ""Алейская ЦРБ"" - детское поликлиническое отделение";Детское;;;Оценка не проведена;0;Оценка не проведена;0;Оценка не проведена;;0;Оценка не проведена;0;Оценка не проведена;0;Оценка не проведена;0;Оценка не проведена;0;Оценка не проведена;0;Оценка не проведена;0;
Алтайский край;2023;Март;22-014/13;"КГБУЗ ""Центральная городская больница, г. Заринск"" - детское поликлиническое отделение";Детское;;;Оценка не проведена;0;Оценка не проведена;0;Оценка не проведена;;0;Оценка не проведена;0;Оценка не проведена;0;Оценка не проведена;0;Оценка не проведена;0;Оценка не проведена;0;Оценка не проведена;0;28.06.2022
Алтайский край;2023;Март;22-015/13;"КГБУЗ ""ЦРБ г. Змеиногорска"" - детское поликлиническое отделение";Детское;;;Оценка не проведена;0;Оценка не проведена;0;Оценка не проведена;;0;Оценка не проведена;0;Оценка не проведена;0;Оценка не проведена;0;Оценка не проведена;0;Оценка не проведена;0;Оценка не проведена;0;
Алтайский край;2023;Март;22-016/13;"КГБУЗ ""Каменская МБ"" Детское поликлиническое отделение";Детское;;;Оценка не проведена;0;Оценка не проведена;0;Оценка не проведена;;0;Оценка не проведена;0;Оценка не проведена;0;Оценка не проведена;0;Оценка не проведена;0;Оценка не проведена;0;Оценка не проведена;0;
Алтайский край;2023;Март;22-017/13;"КГБУЗ ""Городская больница имени Л.Я. Литвиненко, г. Новоалтайск"" (ул. Гагарина, 15)";Детское;;;Оценка не проведена;0;Оценка не проведена;0;Оценка не проведена;;0;Оценка не проведена;0;Оценка не проведена;0;Оценка не проведена;0;Оценка не проведена;0;Оценка не проведена;0;Оценка не проведена;0;
Алтайский край;2023;Март;22-018/13;"КГБУЗ ""Городская больница имени Л.Я. Литвиненко, г. Новоалтайск"" (ул. Молодежная, 4)";Детское;;;Оценка не проведена;0;Оценка не проведена;0;Оценка не проведена;;0;Оценка не проведена;0;Оценка не проведена;0;Оценка не проведена;0;Оценка не проведена;0;Оценка не проведена;0;Оценка не проведена;0;
Алтайский край;2023;Март;22-019/13;"КГБУЗ ""Городская больница имени Л.Я. Литвиненко, г. Новоалтайск"" (ул. Белоярская, 197а)";Детское;;;Оценка не проведена;0;Оценка не проведена;0;Оценка не проведена;;0;Оценка не проведена;0;Оценка не проведена;0;Оценка не проведена;0;Оценка не проведена;0;Оценка не проведена;0;Оценка не проведена;0;
Алтайский край;2023;Март;22-020/13;"КГБУЗ ""Детская городская больница, г. Рубцовск"" (поликлиника №1, ул. Краснознаменная, 108)";Детское;;;Оценка не проведена;0;Оценка не проведена;0;Оценка не проведена;;0;Оценка не проведена;0;Оценка не проведена;0;Оценка не проведена;0;Оценка не проведена;0;Оценка не проведена;0;Оценка не проведена;0;
Алтайский край;2023;Март;22-021/13;"КГБУЗ ""Детская городская больница, г. Рубцовск"" (поликлиника №2, ул. Октябрьская, 16а)";Детское;;;Оценка не проведена;0;Оценка не проведена;0;Оценка не проведена;;0;Оценка не проведена;0;Оценка не проведена;0;Оценка не проведена;0;Оценка не проведена;0;Оценка не проведена;0;Оценка не проведена;0;
Алтайский край;2023;Март;22-022/13;"КГБУЗ ""Детская городская больница, г. Рубцовск"" (поликлиника №3, ул. Одесская, 3а)";Детское;;;Оценка не проведена;0;Оценка не проведена;0;Оценка не проведена;;0;Оценка не проведена;0;Оценка не проведена;0;Оценка не проведена;0;Оценка не проведена;0;Оценка не проведена;0;Оценка не проведена;0;
Алтайский край;2023;Март;22-023/13;"КГБУЗ ""Детская городская больница, г. Рубцовск"" (поликлиника №4, пр-кт Рубцовский, 31)";Детское;;;Оценка не проведена;0;Оценка не проведена;0;Оценка не проведена;;0;Оценка не проведена;0;Оценка не проведена;0;Оценка не проведена;0;Оценка не проведена;0;Оценка не проведена;0;Оценка не проведена;0;
Алтайский край;2023;Март;22-024/13;"КГБУЗ ""Славгородская ЦРБ"" - детское поликлиническое отделение";Детское;;;Оценка не проведена;0;Оценка не проведена;0;Оценка не проведена;;0;Оценка не проведена;0;Оценка не проведена;0;Оценка не проведена;0;Оценка не проведена;0;Оценка не проведена;0;Оценка не проведена;0;
Алтайский край;2023;Март;22-025/13;"КГБУЗ ""Алтайская ЦРБ"" - детское поликлиническое отделение";Детское;;;Оценка не проведена;0;Оценка не проведена;0;Оценка не проведена;;0;Оценка не проведена;0;Оценка не проведена;0;Оценка не проведена;0;Оценка не проведена;0;Оценка не проведена;0;Оценка не проведена;0;31.12.2022
Алтайский край;2023;Март;22-026/13;"КГБУЗ ""Баевская ЦРБ"" - детское поликлиническое отделение";Детское;;;Оценка не проведена;0;Оценка не проведена;0;Оценка не проведена;;0;Оценка не проведена;0;Оценка не проведена;0;Оценка не проведена;0;Оценка не проведена;0;Оценка не проведена;0;Оценка не проведена;0;28.06.2022
Алтайский край;2023;Март;22-027/13;"КГБУЗ ""Бийская ЦРБ"" - детское поликлиническое отделение";Детское;;;Оценка не проведена;0;Оценка не проведена;0;Оценка не проведена;;0;Оценка не проведена;0;Оценка не проведена;0;Оценка не проведена;0;Оценка не проведена;0;Оценка не проведена;0;Оценка не проведена;0;30.06.2022
